Year,Adult_Mortality,infant_deaths,Alcohol,percentage_expenditure,Hepatitis_B,Measles,BMI,under_five_deaths,Polio,Total_expenditure,Diphtheria,HIV_AIDS,GDP,Population,thinness_1_19_years,thinness_5_9_years,Income_composition_of_resources,Schooling,Life_expectancy,
2007,216,11,3.47,0.00,84.00,0.00,47.30,14.00,85.00,4.96,84.00,0.20,null,null,1.30,1.20,0.63,14.10,66.80,
2006,219,11,3.23,0.00,83.00,0.00,46.70,15.00,82.00,5.19,83.00,0.20,null,null,1.30,1.20,0.63,14.30,66.20,
2005,222,12,2.86,0.00,85.00,0.00,46.00,16.00,84.00,5.67,85.00,0.20,null,null,1.30,1.20,0.62,14.40,65.70,
2004,226,12,2.66,0.00,84.00,0.00,45.40,16.00,84.00,5.22,84.00,0.20,null,null,1.40,1.20,0.62,14.60,65.10,
2003,23,13,2.37,0.00,8.00,0.00,44.70,17.00,82.00,5.30,88.00,0.20,null,null,1.40,1.30,0.62,14.40,64.50,
2002,234,14,2.26,0.00,77.00,0.00,44.00,18.00,76.00,6.53,77.00,0.10,null,null,1.40,1.30,0.61,14.00,63.90,
2001,238,14,2.2,0.00,77.00,0.00,43.30,19.00,71.00,6.31,71.00,0.10,null,null,1.50,1.40,0.61,13.70,63.30,
2000,243,15,2.32,0.00,77.00,122.00,42.60,20.00,74.00,5.67,75.00,0.10,null,null,1.50,1.40,0.60,13.30,62.60,
2015,88,0,null,0.00,82.00,1677.00,55.80,0.00,74.00,null,82.00,0.10,4574.98,3535961.00,2.30,2.30,0.75,14.20,77.40,
2014,89,0,4.03,732.87,89.00,3000.00,55.30,0.00,86.00,9.57,86.00,0.10,5193.95,35662.00,2.40,2.40,0.74,14.20,77.20,
2013,9,0,4.12,75.61,91.00,0.00,54.70,0.00,87.00,9.46,89.00,0.10,535.87,364999.00,2.40,2.40,0.73,14.20,77.00,
2012,92,0,4.61,693.82,92.00,22.00,54.20,0.00,87.00,9.94,92.00,0.10,4716.67,36482.00,2.50,2.50,0.73,13.90,76.80,
2011,92,0,4.64,7.96,88.00,10.00,53.70,0.00,89.00,9.71,88.00,0.10,55.16,3688865.00,2.60,2.50,0.71,13.40,76.90,
2010,94,0,4.54,630.39,89.00,45.00,53.10,0.00,9.00,9.58,89.00,0.10,4611.47,372284.00,2.60,2.60,0.72,13.30,76.40,
2009,97,0,4.75,645.02,9.00,22.00,52.60,0.00,9.00,9.64,9.00,0.10,4697.90,3746561.00,2.70,2.70,0.72,13.30,76.10,
2008,98,0,5.13,66.05,88.00,8.00,52.10,0.00,92.00,8.58,91.00,0.10,575.32,3763599.00,2.80,2.70,0.71,13.10,76.00,
2007,16,0,5.16,8.24,94.00,166.00,51.50,0.00,95.00,8.37,95.00,0.10,418.29,3774.00,2.80,2.80,0.70,12.90,75.40,
2006,1,0,4.82,38.25,9.00,17.00,51.00,0.00,91.00,8.28,87.00,0.10,344.32,3779468.00,2.90,2.80,0.70,12.70,75.70,
2005,12,0,4.56,45.71,93.00,23.00,5.50,0.00,95.00,8.50,93.00,0.10,2968.41,378153.00,2.90,2.90,0.00,12.50,75.00,
2004,99,0,4.25,3.48,36.00,28.00,49.90,0.00,87.00,9.40,84.00,0.10,265.64,3781287.00,3.00,3.00,0.00,12.30,75.50,
2003,12,0,4.14,39.87,null,18.00,49.40,0.00,87.00,7.94,87.00,0.10,2214.73,3779247.00,3.00,3.00,0.00,12.10,75.20,
2002,11,0,3.84,151.14,null,28.00,48.80,0.00,86.00,7.10,8.00,0.10,1761.54,377587.00,3.10,3.10,0.00,11.90,75.40,
2001,113,0,3.85,143.29,null,0.00,48.20,0.00,92.00,7.16,91.00,0.10,1524.41,3771284.00,3.20,3.20,0.00,11.60,74.90,
2000,116,0,3.64,165.62,null,43.00,47.60,0.00,87.00,7.90,85.00,0.10,1461.76,376676.00,3.30,3.20,0.00,0.00,74.60,
2015,256,2,null,0.00,95.00,0.00,37.90,2.00,96.00,null,95.00,2.20,6532.65,229197.00,6.40,6.10,0.70,12.60,65.70,
2014,268,2,0.01,662.80,95.00,1.00,37.30,2.00,96.00,5.41,95.00,2.30,7497.76,2168573.00,6.70,6.40,0.70,12.60,65.10,
2013,286,2,0.01,1.12,95.00,1.00,36.80,2.00,96.00,5.84,95.00,2.80,77.63,212857.00,7.00,6.70,0.69,12.60,64.20,
2012,3,2,0.01,12.83,95.00,7.00,36.20,3.00,96.00,6.27,95.00,4.40,729.23,289315.00,7.30,7.00,0.69,12.50,63.40,
2011,325,2,5.76,668.96,95.00,8.00,35.70,3.00,96.00,5.25,95.00,5.50,7645.21,251339.00,7.70,7.40,0.68,12.40,62.20,
2010,349,2,5.99,547.04,95.00,853.00,35.20,3.00,96.00,5.64,95.00,6.20,6346.16,214866.00,8.00,7.80,0.67,12.30,61.10,
2009,393,2,5.01,426.79,94.00,184.00,34.70,3.00,96.00,6.39,96.00,9.00,5185.73,1979882.00,8.40,8.20,0.66,12.20,59.20,
2008,427,2,6.56,476.86,94.00,0.00,34.20,3.00,96.00,5.55,96.00,12.70,5623.38,1946351.00,8.80,8.60,0.65,12.10,57.50,
2007,436,2,6.21,512.59,93.00,1.00,33.70,3.00,96.00,4.71,96.00,13.40,5714.48,1914414.00,9.20,9.00,0.63,12.10,56.90,
2006,491,2,6.45,76.32,93.00,6.00,33.20,3.00,96.00,4.93,96.00,14.40,5374.55,1884238.00,9.60,9.40,0.61,11.90,54.80,
2005,566,2,6.37,629.84,92.00,5.00,32.70,3.00,96.00,5.62,96.00,20.60,5351.25,1855852.00,1.00,9.90,0.59,11.90,51.70,
2004,652,2,4.9,469.58,91.00,1.00,32.20,4.00,96.00,5.56,96.00,28.40,4896.58,182933.00,1.50,1.40,0.58,11.80,48.10,
2003,693,2,5.51,299.37,9.00,59.00,31.60,4.00,96.00,4.65,96.00,31.90,4163.66,184339.00,1.90,1.80,0.57,11.80,46.40,
2002,699,2,6.41,6.33,88.00,7.00,31.10,4.00,97.00,6.47,97.00,34.60,355.62,1779953.00,11.40,11.30,0.56,11.90,46.00,
2001,679,2,5.48,306.95,87.00,1.00,3.50,4.00,97.00,5.73,97.00,37.20,3128.98,1754935.00,11.80,11.80,0.56,11.80,46.70,
2000,647,2,5.37,250.89,86.00,2672.00,29.90,4.00,97.00,4.64,97.00,38.80,3349.69,172834.00,12.30,12.20,0.56,11.70,47.80,
2015,142,42,null,0.00,96.00,214.00,56.10,47.00,98.00,null,96.00,0.10,8757.26,2596218.00,2.70,2.60,0.75,15.20,75.00,
2014,144,44,7.32,83.16,96.00,876.00,55.30,49.00,96.00,8.32,93.00,0.10,1226.62,24213133.00,2.70,2.70,0.75,15.20,74.80,
2013,146,46,7.24,916.27,96.00,220.00,54.50,52.00,96.00,8.48,97.00,0.10,12216.94,2248632.00,2.80,2.70,0.73,14.20,74.70,
2012,148,49,7.55,843.19,96.00,2.00,53.60,54.00,96.00,8.26,95.00,0.10,12291.47,256983.00,2.80,2.80,0.73,14.20,74.50,
2011,152,51,7.58,1085.00,98.00,43.00,52.80,57.00,98.00,8.90,99.00,0.10,13167.47,198686688.00,2.90,2.80,0.72,14.00,74.10,
2010,154,54,7.52,1111.19,96.00,68.00,52.00,61.00,99.00,8.27,99.00,0.10,11224.15,196796269.00,2.90,2.90,0.72,13.80,73.80,
2009,157,57,7.33,564.52,99.00,0.00,51.10,64.00,99.00,8.65,99.00,0.10,8553.38,194895996.00,3.00,2.90,0.71,13.80,73.60,
2008,158,61,7.21,526.38,96.00,0.00,5.30,68.00,99.00,8.24,99.00,0.10,8787.61,19297929.00,3.00,3.00,0.70,13.30,73.40,
2007,159,65,7.19,394.93,99.00,0.00,49.40,73.00,99.00,8.28,99.00,0.10,7313.56,19126637.00,3.10,3.00,0.70,13.50,73.30,
2006,161,70,7.1,30.30,99.00,57.00,48.60,79.00,99.00,8.36,99.00,0.10,586.15,18912412.00,3.10,3.10,0.70,13.80,73.00,
2005,163,75,6.97,23.76,98.00,6.00,47.80,85.00,99.00,8.27,99.00,0.10,477.18,186917361.00,3.20,3.10,0.69,13.80,72.70,
2004,17,81,6.85,186.61,96.00,0.00,46.90,93.00,99.00,7.70,99.00,0.10,3623.48,184738458.00,3.20,3.20,0.69,14.00,72.00,
2003,172,88,6.95,15.86,97.00,2.00,46.10,100.00,99.00,6.94,99.00,0.10,359.59,182482149.00,3.30,3.30,0.70,14.80,71.80,
2002,176,95,7,140.98,92.00,1.00,45.30,109.00,99.00,7.13,99.00,0.10,2819.65,1815121.00,3.30,3.30,0.69,14.60,71.40,
2001,179,103,7.13,149.48,91.00,1.00,44.50,118.00,99.00,7.19,98.00,0.10,3146.95,1777567.00,3.40,3.40,0.69,14.30,71.00,
2000,183,111,7.26,179.48,94.00,36.00,43.70,127.00,99.00,7.30,98.00,0.10,3739.12,175287587.00,3.40,3.40,0.68,14.10,75.00,
2015,78,0,null,0.00,99.00,4.00,41.20,0.00,99.00,null,99.00,0.10,3967.90,null,5.70,5.10,0.86,14.90,77.70,
2014,8,0,0.01,269.14,99.00,1.00,4.20,0.00,99.00,2.65,99.00,0.10,4159.87,null,5.70,5.20,0.86,15.00,77.60,
2013,84,0,0.01,2845.31,98.00,0.00,39.20,0.00,99.00,2.61,99.00,0.10,44597.28,null,5.80,5.20,0.86,14.90,77.10,
2012,79,0,0.01,3192.63,99.00,1.00,38.20,0.00,99.00,2.30,99.00,0.10,47651.26,null,5.80,5.30,0.85,14.40,78.30,
2011,79,0,0.97,295.77,93.00,4.00,37.20,0.00,99.00,2.25,97.00,0.10,4717.27,null,5.90,5.40,0.85,14.10,77.40,
2010,79,0,0.88,2218.36,96.00,0.00,36.20,0.00,99.00,2.73,95.00,0.10,35268.11,null,5.90,5.40,0.84,14.20,76.90,
2009,88,0,0.25,1873.69,96.00,2.00,35.20,0.00,99.00,2.85,99.00,0.10,27965.48,null,6.00,5.50,0.84,14.10,76.80,
2008,84,0,0.67,2538.94,96.00,3.00,34.20,0.00,97.00,2.23,98.00,0.10,37951.29,null,6.10,5.60,0.84,14.20,77.20,
2007,1,0,0.85,2048.56,97.00,0.00,33.20,0.00,95.00,2.32,99.00,0.10,32672.37,null,6.20,5.70,0.84,14.30,76.00,
2006,93,0,0.67,24.98,99.00,0.00,32.20,0.00,94.00,2.24,97.00,0.10,398.97,null,6.30,5.80,0.84,14.30,76.30,
2005,92,0,0.16,179.71,99.00,9.00,31.20,0.00,93.00,2.62,94.00,0.10,2612.13,null,6.40,5.90,0.83,14.10,76.20,
2004,89,0,0.11,1504.30,99.00,16.00,3.10,0.00,92.00,3.10,92.00,0.10,21896.65,null,6.50,6.00,0.83,13.70,76.40,
2003,89,0,0.12,1406.51,99.00,24.00,29.10,0.00,99.00,3.90,92.00,0.10,18555.57,null,6.60,6.10,0.82,13.40,76.00,
2002,95,0,0.13,941.70,99.00,0.00,28.00,0.00,99.00,3.40,94.00,0.10,16846.22,null,6.70,6.10,0.82,13.30,74.80,
2001,19,0,0.47,1078.66,99.00,11.00,27.00,0.00,99.00,3.60,97.00,0.10,16468.13,null,6.80,6.20,0.82,13.40,74.70,
2000,16,0,0.37,11.80,99.00,42.00,26.10,0.00,99.00,3.50,99.00,0.10,188.45,null,6.80,6.30,0.82,13.40,74.40,
2015,137,0,null,0.00,92.00,0.00,65.70,1.00,91.00,null,91.00,0.10,6993.48,7177991.00,1.90,1.80,0.79,15.00,74.50,
2014,138,1,12.03,153.14,95.00,0.00,65.10,1.00,88.00,8.44,88.00,0.10,7853.34,7223938.00,1.90,1.90,0.79,14.80,74.30,
2013,14,1,12.06,149.66,95.00,14.00,64.50,1.00,95.00,7.93,95.00,0.10,7674.87,7265115.00,1.90,1.90,0.78,14.40,74.10,
2012,139,1,10.99,851.45,95.00,1.00,63.90,1.00,95.00,7.11,95.00,0.10,7378.26,735888.00,1.90,1.90,0.78,14.30,73.90,
2011,144,1,10.67,875.15,96.00,157.00,63.30,1.00,95.00,6.88,95.00,0.10,7813.83,7348328.00,2.00,2.00,0.78,14.20,73.70,
2010,147,1,10.8,766.45,95.00,22004.00,62.70,1.00,94.00,7.24,94.00,0.10,6843.26,7395599.00,2.00,2.00,0.77,13.90,73.40,
2009,152,1,10.93,661.51,96.00,2249.00,62.10,1.00,94.00,6.78,94.00,0.10,6955.99,7444443.00,2.00,2.10,0.77,13.80,73.20,
2008,155,1,10.98,107.98,96.00,1.00,61.50,1.00,96.00,6.61,95.00,0.10,7296.12,7492561.00,2.10,2.10,0.76,13.80,72.90,
2007,157,1,10.89,591.51,95.00,1.00,6.90,1.00,95.00,6.41,95.00,0.10,5932.90,7545338.00,2.10,2.20,0.76,13.50,72.60,
2006,161,1,10.39,508.63,96.00,1.00,6.30,1.00,96.00,6.67,95.00,0.10,4513.14,76122.00,2.20,2.20,0.75,13.50,72.20,
2005,16,1,10.48,456.34,96.00,3.00,59.70,1.00,97.00,7.80,96.00,0.10,3893.69,7658972.00,2.20,2.30,0.75,13.50,72.10,
2004,157,1,10.96,384.15,94.00,0.00,59.10,1.00,94.00,7.90,95.00,0.10,3381.58,771686.00,2.30,2.30,0.74,13.30,72.20,
2003,155,1,11.19,32.39,96.00,0.00,58.60,1.00,96.00,7.43,96.00,0.10,271.47,7775327.00,2.30,2.40,0.73,12.90,72.00,
2002,157,1,10.2,33.27,88.00,0.00,58.10,1.00,94.00,7.41,93.00,0.10,287.53,7837161.00,2.40,2.40,0.72,12.90,71.80,
2001,16,1,10.72,25.06,93.00,8.00,57.50,1.00,94.00,7.23,94.00,0.10,1764.97,89142.00,2.40,2.50,0.71,12.90,71.60,
2000,163,1,9.69,15.24,94.00,46.00,57.00,1.00,94.00,6.70,93.00,0.10,169.29,817172.00,2.50,2.50,0.71,12.90,71.10,
2015,26,38,null,0.00,91.00,99.00,19.40,61.00,91.00,null,91.00,0.60,615.59,1811624.00,8.00,7.50,0.40,7.70,59.90,
2014,268,39,0.01,8.39,91.00,343.00,18.80,63.00,91.00,4.96,91.00,0.60,75.15,17585977.00,8.20,7.70,0.40,7.70,59.30,
2013,27,40,4.64,88.97,88.00,375.00,18.20,66.00,89.00,5.91,88.00,0.70,699.45,1772723.00,8.40,7.90,0.39,7.50,59.00,
2012,271,41,4.75,78.77,9.00,7362.00,17.70,68.00,9.00,5.33,9.00,0.80,673.82,16571216.00,8.60,8.10,0.38,7.20,58.60,
2011,275,42,4.51,85.56,91.00,860.00,17.10,71.00,9.00,5.17,91.00,0.90,666.84,168194.00,8.80,8.40,0.38,6.70,58.10,
2010,279,43,4.55,90.46,91.00,2511.00,16.60,74.00,9.00,7.17,91.00,1.00,575.45,1565217.00,9.00,8.60,0.36,6.30,57.50,
2009,283,44,4.55,81.14,92.00,54118.00,16.10,77.00,91.00,7.41,92.00,1.10,552.75,1514199.00,9.30,8.80,0.36,5.90,56.90,
2008,288,45,4.5,107.80,93.00,395.00,15.60,80.00,92.00,6.77,93.00,1.50,569.76,14689726.00,9.50,9.10,0.34,5.40,56.10,
2007,293,46,4.58,73.93,89.00,12.00,15.10,83.00,93.00,6.63,89.00,1.70,475.11,1425221.00,9.80,9.30,0.33,4.90,55.30,
2006,32,47,4.73,64.24,76.00,125.00,14.60,86.00,94.00,6.58,86.00,2.00,422.63,13829177.00,1.00,9.60,0.33,4.70,54.30,
2005,313,48,4.88,8.77,null,253.00,14.20,89.00,94.00,6.87,82.00,2.30,47.00,1342193.00,1.30,9.80,0.00,4.30,53.30,
2004,323,49,4.54,56.96,null,77.00,13.70,91.00,83.00,6.45,79.00,2.50,371.32,133569.00,1.50,1.10,0.00,3.90,52.40,
2003,332,49,4.58,41.61,null,2946.00,13.30,92.00,83.00,5.61,79.00,2.90,332.34,12654621.00,1.70,1.30,0.00,3.80,51.60,
2002,338,49,4.53,3.20,null,1744.00,12.90,93.00,69.00,5.26,69.00,3.20,26.76,122931.00,11.00,1.60,0.00,3.60,51.00,
2001,344,48,4.56,23.10,null,4174.00,12.50,93.00,62.00,4.85,62.00,3.60,235.49,11944587.00,11.20,1.80,0.00,3.50,56.00,
2000,348,48,3.71,19.84,null,6074.00,12.20,92.00,45.00,5.60,45.00,4.00,226.48,1167942.00,11.40,11.10,0.00,3.40,51.00,
2015,288,21,null,0.00,94.00,9.00,18.70,31.00,94.00,null,94.00,0.70,33.68,119927.00,7.30,7.20,0.41,10.60,59.60,
2014,297,22,0.01,41.25,95.00,0.00,18.20,32.00,95.00,7.54,95.00,0.70,312.75,989179.00,7.40,7.30,0.40,10.60,59.10,
2013,33,22,0.01,40.15,96.00,0.00,17.60,32.00,96.00,8.30,96.00,1.00,282.76,96186.00,7.40,7.40,0.40,10.50,58.60,
2012,312,22,0.01,38.73,96.00,49.00,17.10,33.00,96.00,8.21,96.00,1.20,265.29,931971.00,7.50,7.50,0.39,10.30,58.00,
2011,321,22,4.16,3.60,96.00,129.00,16.60,33.00,95.00,8.58,96.00,1.50,26.48,94358.00,7.60,7.60,0.39,9.90,57.40,
2010,33,23,4.16,31.14,96.00,495.00,16.10,34.00,94.00,8.82,96.00,1.90,231.19,876693.00,7.70,7.70,0.36,9.30,56.80,
2009,338,23,4.05,2.03,94.00,305.00,15.70,34.00,96.00,6.96,94.00,2.40,24.94,848931.00,7.80,7.80,0.34,8.60,56.20,
2008,35,23,4.33,15.99,92.00,173.00,15.20,35.00,89.00,7.86,92.00,2.90,196.25,8212264.00,7.90,7.90,0.32,7.90,55.30,
2007,355,24,4.54,1.73,99.00,43.00,14.80,36.00,93.00,1.30,99.00,3.40,17.80,7939573.00,8.00,8.00,0.31,7.20,54.80,
2006,361,24,4.5,21.25,92.00,784.00,14.50,36.00,88.00,11.49,92.00,3.80,165.88,7675338.00,8.10,8.20,0.29,5.90,54.10,
2005,369,24,5.54,1.75,87.00,0.00,14.10,37.00,82.00,9.84,87.00,4.30,15.57,7423289.00,8.20,8.30,0.29,5.60,53.40,
2004,378,24,5.72,11.23,83.00,2.00,13.80,38.00,76.00,7.10,83.00,4.80,127.43,7182451.00,8.40,8.40,0.28,5.20,52.60,
2003,387,24,5.84,6.55,null,224.00,13.50,38.00,75.00,5.25,82.00,5.10,112.85,6953113.00,8.50,8.50,0.28,4.70,51.90,
2002,387,24,5.98,9.66,null,1016.00,13.30,39.00,74.00,5.15,81.00,5.20,122.43,6741569.00,8.70,8.70,0.27,4.40,51.50,
2001,385,25,6.09,10.62,null,0.00,13.00,40.00,72.00,4.96,81.00,5.30,133.74,6555829.00,8.80,8.80,0.27,4.50,51.30,
2000,386,25,6.61,9.70,null,18363.00,12.80,41.00,71.00,4.98,8.00,5.20,136.00,6476.00,9.00,8.90,0.27,4.50,58.00,
2015,397,57,null,0.00,83.00,65.00,28.00,79.00,81.00,null,83.00,1.90,null,null,5.50,5.50,null,null,53.30,
2014,47,58,0.01,0.00,76.00,50.00,27.40,80.00,76.00,5.72,76.00,2.00,null,null,5.60,5.60,null,null,52.80,
2013,412,59,3.15,0.00,8.00,48.00,26.80,81.00,79.00,5.81,8.00,2.40,null,null,5.80,5.70,null,null,52.30,
2012,415,59,3.24,0.00,82.00,137.00,26.20,82.00,83.00,6.14,82.00,2.90,null,null,5.90,5.90,null,null,52.00,
2011,419,60,3.13,0.00,62.00,628.00,25.60,83.00,58.00,6.42,62.00,3.30,null,null,6.10,6.00,null,null,51.70,
2010,417,60,3.15,0.00,85.00,441.00,25.00,84.00,81.00,6.32,85.00,3.30,null,null,6.30,6.20,null,null,51.50,
2009,426,60,2.92,0.00,81.00,183.00,24.40,84.00,77.00,6.41,81.00,3.70,null,null,6.50,6.40,null,null,51.00,
2008,437,60,2.69,0.00,74.00,12.00,23.80,85.00,58.00,6.21,74.00,4.10,null,null,6.60,6.60,null,null,54.00,
2007,443,61,2.58,0.00,76.00,5.00,23.20,87.00,75.00,6.35,76.00,5.30,null,null,6.80,6.70,null,null,49.90,
2006,452,62,2.65,0.00,77.00,11.00,22.60,89.00,76.00,5.87,77.00,5.80,null,null,7.00,6.90,null,null,49.40,
2005,466,63,3.11,0.00,76.00,115.00,22.10,90.00,87.00,5.39,76.00,6.10,null,null,7.20,7.10,null,null,48.70,
2004,472,64,3.08,0.00,67.00,3466.00,21.50,91.00,76.00,5.24,67.00,6.50,null,null,7.30,7.30,null,null,48.20,
2003,473,64,3.12,0.00,63.00,4770.00,2.90,92.00,68.00,4.65,61.00,6.70,null,null,7.50,7.50,null,null,48.00,
2002,473,65,3.13,0.00,48.00,5882.00,2.40,93.00,7.00,4.47,64.00,6.90,null,null,7.70,7.70,null,null,47.70,
2001,467,65,3.15,0.00,1.00,5790.00,19.90,94.00,7.00,4.85,66.00,7.00,null,null,7.90,7.90,null,null,47.80,
2000,461,67,3.45,0.00,null,5729.00,19.40,95.00,66.00,6.00,65.00,7.10,null,null,8.10,8.10,null,null,47.90,
2015,114,0,null,0.00,96.00,0.00,31.30,0.00,93.00,null,93.00,0.20,2954.12,532913.00,6.60,6.60,0.65,13.50,73.30,
2014,117,0,0.01,414.02,97.00,0.00,3.50,0.00,95.00,4.76,95.00,0.20,3529.62,526437.00,6.80,6.70,0.64,13.50,73.00,
2013,12,0,0.01,325.63,94.00,0.00,29.70,0.00,93.00,4.29,93.00,0.20,3558.80,5216.00,6.90,6.90,0.64,13.60,72.80,
2012,121,0,0.01,33.56,94.00,0.00,29.00,0.00,94.00,4.61,94.00,0.30,348.48,513979.00,7.10,7.10,0.64,13.20,72.70,
2011,122,0,5.07,4.41,9.00,0.00,28.20,0.00,9.00,4.60,9.00,0.30,367.43,5867.00,7.30,7.20,0.63,13.10,72.60,
2010,123,0,4.75,286.89,98.00,0.00,27.50,0.00,99.00,4.83,99.00,0.40,3312.83,52384.00,7.40,7.40,0.63,12.70,72.50,
2009,124,0,4.45,339.98,98.00,0.00,26.80,0.00,99.00,4.24,99.00,0.40,3444.56,496963.00,7.60,7.60,0.62,12.40,72.40,
2008,124,0,4.16,360.62,98.00,0.00,26.20,0.00,99.00,3.96,99.00,0.40,3638.96,491723.00,7.80,7.80,0.61,12.20,72.40,
2007,126,0,5.28,345.46,96.00,0.00,25.50,0.00,98.00,4.30,98.00,0.60,3112.29,486438.00,8.10,8.00,0.60,11.90,72.30,
2006,129,0,4.25,26.45,95.00,0.00,24.90,0.00,97.00,5.11,96.00,0.60,234.29,48795.00,8.30,8.30,0.60,11.90,72.10,
2005,134,0,4.26,3.35,93.00,0.00,24.30,0.00,95.00,4.86,95.00,0.80,248.13,474567.00,8.50,8.50,0.58,11.20,71.80,
2004,14,0,4.19,240.14,91.00,0.00,23.70,0.00,94.00,5.60,93.00,0.80,1976.46,467664.00,8.70,8.70,0.57,11.10,71.40,
2003,144,0,4.16,209.09,66.00,0.00,23.20,0.00,93.00,5.00,92.00,0.90,1768.92,46147.00,8.90,8.90,0.57,11.30,71.10,
2002,148,0,3.82,155.21,4.00,0.00,22.60,0.00,92.00,5.17,91.00,0.80,1373.52,45216.00,9.20,9.10,0.57,11.30,77.00,
2001,152,0,3.81,150.74,null,0.00,22.10,0.00,91.00,5.19,9.00,0.80,1268.88,443716.00,9.40,9.30,0.56,11.00,73.00,
2000,155,0,3.49,122.57,null,2.00,21.50,0.00,9.00,4.81,9.00,0.80,1239.38,43579.00,9.60,9.50,0.00,11.30,69.90,
2015,174,10,null,0.00,89.00,0.00,19.60,12.00,87.00,null,89.00,0.20,1163.19,15517635.00,1.90,1.90,0.56,10.90,68.70,
2014,179,11,0.01,12.18,88.00,0.00,18.90,12.00,87.00,5.68,88.00,0.20,198.69,152779.00,1.90,11.00,0.55,10.90,68.30,
2013,183,11,0.01,8.76,83.00,0.00,18.20,13.00,66.00,5.93,83.00,0.20,128.42,1522692.00,11.00,11.10,0.55,10.80,67.80,
2012,186,12,0.01,6.91,86.00,15.00,17.60,14.00,84.00,6.24,86.00,0.30,95.24,14776866.00,11.00,11.20,0.54,10.70,67.40,
2011,19,13,2.12,60.19,88.00,722.00,17.00,15.00,87.00,5.64,88.00,0.30,882.49,14537886.00,11.00,11.20,0.53,10.70,67.00,
2010,192,14,2.2,56.88,89.00,1156.00,16.40,16.00,88.00,5.95,89.00,0.50,785.69,143874.00,11.00,11.30,0.52,10.60,66.60,
2009,195,15,2.13,48.35,92.00,4779.00,15.90,17.00,95.00,6.36,94.00,0.60,738.23,14928.00,11.10,11.40,0.52,10.50,66.10,
2008,199,16,2.24,53.10,91.00,4211.00,15.30,18.00,91.00,5.55,91.00,0.70,745.79,138859.00,11.20,11.40,0.51,10.50,65.60,
2007,24,16,2.08,57.74,82.00,394.00,14.80,20.00,82.00,3.75,82.00,0.90,631.68,13676693.00,11.30,11.50,0.50,10.30,65.00,
2006,216,17,2.03,51.50,8.00,188.00,14.30,21.00,8.00,4.48,8.00,1.10,539.88,13474489.00,11.40,11.60,0.48,10.10,64.10,
2005,234,18,1.99,62.22,null,264.00,13.90,22.00,82.00,5.84,82.00,1.40,474.22,132721.00,11.50,11.60,0.47,10.00,62.90,
2004,253,19,1.38,8.39,null,352.00,13.50,24.00,86.00,6.43,85.00,1.70,48.62,1363377.00,11.60,11.70,0.46,9.70,61.50,
2003,268,21,1.44,55.60,null,653.00,13.10,26.00,69.00,6.74,69.00,1.90,362.42,12853124.00,11.60,11.70,0.45,9.30,63.00,
2002,273,23,1.43,30.91,null,1361.00,12.80,29.00,54.00,5.95,54.00,2.10,339.68,12634729.00,11.60,11.80,0.43,8.20,59.30,
2001,273,25,1.71,27.69,null,3761.00,12.40,33.00,59.00,5.70,6.00,2.20,321.23,1242473.00,11.60,11.80,0.41,7.60,58.50,
2000,274,27,1.51,0.33,null,12237.00,12.10,36.00,62.00,5.87,59.00,2.10,3.69,12152354.00,11.60,11.90,0.40,7.20,57.70,
2015,357,45,null,0.00,84.00,1809.00,29.00,68.00,83.00,null,84.00,3.50,1244.43,22834522.00,5.60,5.50,0.51,10.40,57.30,
2014,366,47,0.01,61.39,87.00,831.00,28.40,71.00,86.00,4.10,87.00,3.70,1441.14,2223994.00,5.70,5.70,0.51,10.40,56.70,
2013,364,48,0.01,63.08,89.00,760.00,27.80,73.00,88.00,4.29,89.00,4.00,1365.34,21655715.00,5.80,5.80,0.50,10.40,56.40,
2012,369,50,0.01,68.56,85.00,609.00,27.20,76.00,85.00,4.34,85.00,4.60,1255.65,2182383.00,5.90,5.90,0.50,10.40,55.90,
2011,371,51,6.19,83.18,82.00,504.00,26.60,79.00,8.00,3.96,82.00,4.90,1295.65,252447.00,6.00,6.00,0.49,10.00,55.60,
2010,37,53,6.15,100.90,84.00,240.00,26.00,82.00,83.00,5.28,84.00,5.50,1182.87,1997495.00,6.10,6.20,0.48,9.70,55.30,
2009,373,54,5.89,9.04,8.00,251.00,25.40,85.00,79.00,5.70,8.00,6.30,123.20,19432541.00,6.30,6.30,0.47,9.20,54.80,
2008,382,56,5.9,68.71,84.00,495.00,24.90,87.00,82.00,5.18,84.00,6.70,1233.52,18978.00,6.40,6.50,0.47,8.80,54.20,
2007,395,57,5.44,7.56,82.00,100.00,24.40,89.00,81.00,4.76,82.00,7.00,111.71,18395389.00,6.60,6.60,0.46,8.00,53.60,
2006,394,58,5.22,0.96,81.00,196.00,23.80,91.00,78.00,4.69,81.00,7.20,12.99,17899562.00,6.70,6.80,0.46,8.20,53.30,
2005,4,58,5.03,73.03,79.00,605.00,23.30,93.00,79.00,4.75,8.00,7.40,952.19,1742795.00,6.90,7.00,0.46,8.30,52.80,
2004,412,59,4.71,7.18,null,358.00,22.80,94.00,72.00,4.73,73.00,7.50,93.21,1695981.00,7.00,7.10,0.46,8.20,52.10,
2003,412,60,4.64,67.64,null,899.00,22.30,95.00,72.00,4.97,73.00,7.70,824.87,16513822.00,7.20,7.30,0.45,8.10,51.80,
